Year,Grocery stores sales million constant 1988 U.S. dollars with taxes and tips,Convenience stores sales million constant 1988 U.S. dollars with taxes and tips,Other food stores sales million constant 1988 U.S. dollars with taxes and tips,Warehouse clubs and supercenters sales million constant 1988 U.S. dollars with taxes and tips,Other stores and foodservice sales million constant 1988 U.S. dollars with taxes and tips,Mail order and home delivery sales million constant 1988 U.S. dollars with taxes and tips,"Direct selling by farmers, manufacturers, and wholesalers sales million constant 1988 U.S. dollars with taxes and tips",Home production and donations sales million constant 1988 U.S. dollars with taxes and tips,Total food at home sales million constant 1988 U.S. dollars with taxes and tips,Full-service restaurants sales million constant 1988 U.S. dollars with taxes and tips,Limited-service restaurants sales million constant 1988 U.S. dollars with taxes and tips,Drinking places sales million constant 1988 U.S. dollars without taxes and tips,Hotels and motels sales million constant 1988 U.S. dollars without taxes and tips,Retail stores and vending sales million constant 1988 U.S. dollars without taxes and tips,Recreational places sales million constant 1988 U.S. dollars without taxes and tips,Schools and colleges sales million constant 1988 U.S. dollars without taxes and tips,"Other food away from home sales, not elsewhere classified, million constant 1988 U.S. dollars without taxes and tips",Food furnished and donated sales million constant 1988 U.S. dollars without taxes and tips,Total food away from home sales million constant 1988 U.S. dollars without taxes and tips,Liquor stores sales million constant 1988 U.S. dollars without taxes and tips,Food stores alcohol sales million constant 1988 U.S. dollars without taxes and tips,"Other alcohol at home sales, not elsewhere classified, million constant 1988 U.S. dollars without taxes and tips",Total alcohol at home sales million constant 1988 U.S. dollars without taxes and tips,Eating and drinking places alcohol sales million constant 1988 U.S. dollars without taxes and tips,Hotels and motels alcohol sales million constant 1988 U.S. dollars without taxes and tips,"Other alcohol away from home, not elsewhere classified, sales million constant 1988 U.S. dollars without taxes and tips",Total alcohol away from home sales million constant 1988 U.S. dollars without taxes and tips
1997,"199,832.86","7,201.88","7,899.33","22,170.49","27,924.62","8,647.68","3,036.32",831.48,"277,544.66","93,701.13","87,200.66","1,364.00","12,514.61","9,848.61","8,745.38","21,531.67","8,295.29","17,773.12","260,974.48","16,102.52","10,416.42","12,446.46","38,965.40","22,814.35","2,891.07","2,850.81","28,556.23"
1998,"198,052.70","6,818.39","7,822.01","26,228.82","26,989.25","8,715.52","2,755.57",832.04,"278,214.31","95,222.90","90,032.57","1,389.54","12,999.21","10,329.35","9,036.12","22,120.47","8,696.23","17,742.88","267,569.28","16,869.68","10,736.61","12,231.86","39,838.16","23,754.91","2,982.04","3,025.89","29,762.84"
1999,"201,516.66","6,728.91","7,619.69","31,135.87","28,431.71","9,442.81","2,461.01",832.12,"288,168.78","96,923.82","91,096.67","1,414.59","14,161.03","11,465.05","9,361.95","22,929.70","9,247.05","17,927.14","274,527.00","17,263.64","11,229.33","12,023.03","40,516.00","24,675.88","3,217.47","3,094.02","30,987.37"
2000,"199,080.98","7,167.12","7,825.01","35,858.19","30,758.23","10,647.84","2,187.37",766.91,"294,291.66","100,586.48","93,963.50","1,461.20","15,567.96","13,396.14","12,244.84","23,018.87","9,117.22","17,967.63","287,323.84","18,093.47","11,546.43","12,043.97","41,683.86","26,059.24","3,500.38","3,195.09","32,754.70"
2001,"199,334.03","6,924.58","8,028.09","40,926.43","30,039.46","10,247.86","1,868.23",837.15,"298,205.88","101,603.11","95,014.88","1,455.82","14,531.25","13,990.03","12,452.56","23,760.56","9,168.68","17,738.41","289,715.28","18,468.41","12,032.06","11,138.26","41,638.73","26,646.99","3,222.20","3,169.53","33,038.72"
2002,"195,851.27","6,938.15","8,100.01","46,618.71","29,422.75","10,628.46","1,607.54",873.8,"300,040.69","104,526.91","96,544.02","1,493.83","14,086.29","14,538.80","12,678.06","24,931.07","9,124.27","17,437.60","295,360.84","18,334.33","12,206.57","10,139.46","40,680.36","27,882.63","3,085.94","3,199.89","34,168.45"
2003,"195,894.67","6,304.69","8,306.57","51,905.57","30,455.61","10,705.68","1,689.21",873.57,"306,135.56","108,080.61","100,735.72","1,648.53","13,582.19","14,881.65","13,011.36","25,812.30","9,668.80","17,568.31","304,989.47","18,530.14","12,071.12","10,731.26","41,332.52","28,046.87","3,009.49","3,274.92","34,331.28"
2004,"194,444.44","6,013.59","8,539.43","56,671.49","31,991.92","10,724.40","1,724.51",889.7,"310,999.50","112,348.10","105,836.94","1,735.76","13,679.50","15,614.52","13,291.64","26,601.51","10,027.53","17,955.12","317,090.59","19,289.59","12,070.81","11,658.15","43,018.55","27,883.10","3,073.94","3,329.54","34,286.58"
2005,"198,339.02","5,625.24","8,447.76","62,998.56","34,029.38","10,891.33","1,799.97","1,044.21","323,175.47","115,924.76","110,907.56","1,827.75","13,383.29","15,323.62","12,411.71","27,457.04","10,168.69","18,536.22","325,940.66","20,007.59","12,187.38","12,754.09","44,949.05","27,688.91","3,065.65","3,315.68","34,070.25"
2006,"200,833.38","5,515.34","8,407.40","68,760.73","35,260.58","11,051.54","1,845.86","1,074.31","332,749.13","121,059.73","113,537.65","2,003.32","12,961.81","15,765.08","12,781.33","27,956.16","10,860.62","19,106.26","336,031.97","21,287.28","12,271.91","13,495.36","47,054.54","27,857.86","3,011.27","3,410.42","34,279.54"
2007,"201,143.53","5,069.51","8,425.70","72,810.62","34,641.16","10,802.09","1,928.10",800.98,"335,621.69","124,667.49","114,658.48","2,112.17","12,362.23","15,911.32","13,041.43","28,548.60","11,575.75","19,430.36","342,307.84","22,185.67","12,311.53","13,814.32","48,311.52","27,483.27","2,926.84","3,479.86","33,889.97"
2008,"195,570.33","5,001.00","8,047.14","73,022.41","34,992.83","10,342.95","1,887.07",821.49,"329,685.19","119,834.38","114,444.37","2,069.02","12,604.60","16,524.05","12,649.59","29,233.92","11,360.44","19,417.44","338,137.81","22,284.07","12,726.44","14,405.54","49,416.05","27,115.28","3,004.20","3,359.62","33,479.09"
