Year,Grocery stores sales million nominal U.S. dollars with taxes and tips,Convenience stores sales million nominal U.S. dollars with taxes and tips,Other food stores sales million nominal U.S. dollars with taxes and tips,Warehouse clubs and supercenters sales million nominal U.S. dollars with taxes and tips,Other stores and foodservice sales million nominal U.S. dollars with taxes and tips,Mail order and home delivery sales million nominal U.S. dollars with taxes and tips,"Direct selling by farmers, manufacturers, and wholesalers sales million nominal U.S. dollars with taxes and tips",Home production and donations sales million nominal U.S. dollars with taxes and tips,Total food at home sales million nominal U.S. dollars with taxes and tips,Full-service restaurants sales million nominal U.S. dollars with taxes and tips,Limited-service restaurants sales million nominal U.S. dollars with taxes and tips,Drinking places sales million nominal U.S. dollars with taxes and tips,Hotels and motels sales million nominal U.S. dollars with taxes and tips,Retail stores and vending sales million nominal U.S. dollars with taxes and tips,Recreational places sales million nominal U.S. dollars with taxes and tips,Schools and colleges sales million nominal U.S. dollars with taxes and tips,"Other food away from home sales, not elsewhere classified, million nominal U.S. dollars with taxes and tips","Food away from home, food furnished and donated sales million nominal U.S. dollars with taxes and tips",Total food away from home sales million nominal U.S. dollars with taxes and tips,Liquor stores sales million nominal U.S. dollars with taxes and tips,Food stores alcohol sales million nominal U.S. dollars with taxes and tips,"Other alcohol at home sales, not elsewhere classified, million dollars U.S. nominal dollars with taxes and tips",Total alcohol at home sales million dollars nominal U.S. dollars with taxes and tips,Eating and drinking places alcohol sales million dollars nominal U.S. dollars with taxes and tips,Hotels and motels alcohol sales million nominal U.S. dollars with taxes and tips,"Other alcohol away from home, not elsewhere classified, sales million nominal U.S. dollars with taxes and tips",Total alcohol away from home sales million nominal U.S. dollars with taxes and tips
1997,"270,956.91","9,765.15","10,710.83","30,061.36","37,863.49","11,725.54","4,117.00","1,127.42","376,327.72","120,780.61","112,401.51","1,758.20","16,131.31","12,694.84","11,272.79","27,754.29","10,692.61","22,909.52","336,395.69","21,079.92","13,636.20","16,293.75","51,009.87","33,086.04","4,192.72","4,134.32","41,413.09"
1998,"273,638.88","9,420.61","10,807.26","36,238.97","37,289.61","12,041.76","3,807.23","1,149.58","384,393.91","125,947.53","119,082.49","1,837.88","17,193.54","13,662.22","11,951.72","29,257.86","11,502.16","23,467.81","353,903.22","22,246.71","14,158.79","16,130.63","52,536.14","35,468.66","4,452.51","4,517.99","44,439.16"
1999,"283,782.47","9,475.88","10,730.30","43,846.57","40,038.48","13,297.68","3,465.68","1,171.82","405,808.88","131,380.31","123,481.61","1,917.48","19,195.28","15,540.89","12,690.13","31,081.23","12,534.38","24,300.26","372,121.59","23,234.86","15,113.38","16,181.60","54,529.85","37,977.43","4,951.84","4,761.86","47,691.13"
2000,"286,669.78","10,320.41","11,267.75","51,634.55","44,290.80","15,332.53","3,149.73","1,104.32","423,769.88","139,565.80","130,376.28","2,027.44","21,600.86","18,587.42","16,989.97","31,939.16","12,650.33","24,930.46","398,667.72","25,048.84","15,985.03","16,673.84","57,707.70","41,323.64","5,550.75","5,066.63","51,941.03"
2001,"296,436.72","10,297.79","11,938.87","60,863.16","44,672.75","15,239.96","2,778.31","1,244.96","443,472.53","145,063.88","135,657.53","2,078.54","20,746.99","19,974.27","17,779.14","33,924.15","13,090.59","25,326.03","413,641.09","26,053.07","16,973.43","15,712.56","58,739.06","43,908.36","5,309.48","5,222.69","54,440.53"
2002,"294,952.69","10,448.88","12,198.64","70,207.95","44,310.76","16,006.50","2,420.96","1,315.95","451,862.31","153,014.36","141,328.39","2,186.78","20,620.57","21,282.98","18,559.09","36,495.97","13,356.79","25,526.47","432,371.41","26,329.51","17,529.58","14,561.04","58,420.13","47,502.95","5,257.43","5,451.57","58,211.95"
2003,"301,402.25","9,700.36","12,780.43","79,861.56","46,858.80","16,471.68","2,599.00","1,344.07","471,018.16","161,588.50","150,607.34","2,464.68","20,306.38","22,249.16","19,452.95","38,591.29","14,455.57","26,265.92","455,981.81","27,016.36","17,599.32","15,645.83","60,261.51","49,092.75","5,267.77","5,732.36","60,092.88"
2004,"310,510.75","9,603.17","13,636.72","90,499.41","51,088.30","17,125.93","2,753.90","1,420.77","496,639.00","172,949.66","162,926.31","2,672.05","21,058.34","24,037.13","20,461.26","40,950.61","15,436.47","27,640.26","488,132.06","28,748.58","17,989.95","17,374.93","64,113.46","50,514.09","5,568.86","6,031.93","62,114.89"
2005,"322,853.75","9,156.70","13,751.15","102,548.26","55,392.59","17,728.77","2,929.97","1,699.75","526,060.94","184,071.00","176,104.45","2,902.19","21,250.65","24,331.59","19,707.92","43,597.63","16,146.35","29,432.72","517,544.50","30,186.58","18,387.78","19,242.82","67,817.19","51,837.20","5,739.29","6,207.38","63,783.88"
2006,"332,598.00","9,133.89","13,923.40","113,873.92","58,394.67","18,302.34","3,056.91","1,779.15","551,062.25","198,188.08","185,873.61","3,279.66","21,219.91","25,809.16","20,924.44","45,767.31","17,780.03","31,279.05","550,121.25","32,601.96","18,794.71","20,668.47","72,065.14","54,307.89","5,870.36","6,648.48","66,826.73"
2007,"347,162.34","8,749.68","14,542.28","125,667.00","59,788.67","18,643.80","3,327.79","1,382.44","579,264.00","211,524.28","194,541.92","3,583.74","20,975.10","26,996.85","22,127.49","48,438.63","19,640.65","32,967.63","580,796.31","34,792.64","19,307.55","21,664.28","75,764.48","55,970.13","5,960.55","7,086.79","69,017.47"
2008,"359,146.63","9,183.87","14,777.81","134,098.84","64,261.07","18,993.87","3,465.43","1,508.59","605,436.06","212,286.88","202,738.47","3,665.27","22,329.07","29,272.40","22,408.78","51,787.95","20,125.05","34,398.04","599,011.94","36,080.68","20,605.69","23,324.36","80,010.73","57,592.77","6,380.91","7,135.81","71,109.49"
