Year,State,FAH sales million nominal U.S. dollars without taxes and tips,FAFH sales million nominal U.S. dollars without taxes and tips,Total sales million nominal U.S. dollars without taxes and tips,FAH sales million constant 1988 U.S. dollars without taxes and tips,FAFH sales million constant 1988 U.S. dollars without taxes and tips,Total food sales million constant 1988 U.S. dollars without taxes and tips
1997,Alabama,"5,447.90","3,098.49","8,546.39","4,051.72","2,379.27","6,430.99"
1998,Alabama,"5,690.14","3,428.02","9,118.16","4,170.12","2,564.73","6,734.85"
1999,Alabama,"5,995.80","3,653.72","9,649.52","4,325.52","2,668.35","6,993.86"
2000,Alabama,"6,298.34","3,871.33","10,169.67","4,424.93","2,764.59","7,189.52"
2001,Alabama,"6,411.99","4,089.29","10,501.28","4,379.57","2,843.92","7,223.48"
2002,Alabama,"6,528.75","4,290.82","10,819.57","4,402.04","2,917.76","7,319.80"
2003,Alabama,"6,714.38","4,613.17","11,327.55","4,431.49","3,063.77","7,495.26"
2004,Alabama,"6,891.89","4,940.35","11,832.23","4,376.10","3,182.62","7,558.72"
2005,Alabama,"7,191.52","5,249.65","12,441.18","4,475.33","3,286.74","7,762.07"
2006,Alabama,"7,163.88","5,592.42","12,756.29","4,373.30","3,397.08","7,770.38"
2007,Alabama,"7,413.05","5,854.14","13,267.20","4,343.26","3,438.61","7,781.86"
2008,Alabama,"7,790.25","5,992.71","13,782.95","4,276.69","3,365.10","7,641.79"
2009,Alabama,"7,559.59","5,899.40","13,458.98","4,118.71","3,196.65","7,315.36"
2010,Alabama,"7,821.43","6,015.27","13,836.70","4,236.42","3,218.42","7,454.85"
2011,Alabama,"8,254.96","6,334.81","14,589.77","4,253.52","3,315.65","7,569.17"
2012,Alabama,"8,730.76","6,669.63","15,400.39","4,380.34","3,397.41","7,777.75"
2013,Alabama,"8,818.38","7,062.07","15,880.45","4,372.34","3,516.58","7,888.92"
2014,Alabama,"9,262.46","7,592.67","16,855.14","4,483.27","3,693.81","8,177.07"
2015,Alabama,"9,433.57","8,279.38","17,712.96","4,519.44","3,908.61","8,428.05"
2016,Alabama,"9,547.87","8,809.84","18,357.71","4,640.11","4,077.54","8,717.65"
2017,Alabama,"10,001.36","9,376.19","19,377.55","4,871.33","4,254.01","9,125.33"
2018,Alabama,"10,345.87","9,802.61","20,148.48","5,024.11","4,355.56","9,379.67"
2019,Alabama,"10,697.34","10,280.95","20,978.28","5,159.27","4,431.85","9,591.12"
2020,Alabama,"11,371.08","9,568.53","20,939.61","5,297.79","4,015.11","9,312.91"
2021,Alabama,"12,392.19","11,454.94","23,847.13","5,581.81","4,627.72","10,209.53"
2022,Alabama,"12,843.18","12,281.08","25,124.26","5,193.93","4,603.73","9,797.66"
2023,Alabama,"13,261.81","13,052.52","26,314.33","5,091.17","4,567.97","9,659.14"
1997,Alaska,"1,055.21",710.45,"1,765.65",754.46,554.47,"1,308.93"
1998,Alaska,"1,096.11",730.62,"1,826.73",760.35,555.38,"1,315.73"
1999,Alaska,"1,172.91",752.11,"1,925.02",797.47,559.65,"1,357.12"
2000,Alaska,"1,218.98",810.18,"2,029.16",812.19,589.67,"1,401.86"
2001,Alaska,"1,246.29",818.30,"2,064.59",797.08,577.34,"1,374.42"
2002,Alaska,"1,262.20",845.31,"2,107.51",792.45,577.35,"1,369.80"
2003,Alaska,"1,338.50",907.75,"2,246.26",818.29,608.21,"1,426.50"
2004,Alaska,"1,476.99",962.22,"2,439.21",870.49,625.47,"1,495.96"
2005,Alaska,"1,612.65","1,023.27","2,635.91",941.86,642.16,"1,584.01"
2006,Alaska,"1,703.53","1,091.96","2,795.49",983.10,665.73,"1,648.83"
2007,Alaska,"1,818.24","1,150.73","2,968.97","1,002.11",677.29,"1,679.40"
2008,Alaska,"1,945.60","1,185.95","3,131.55","1,010.00",672.44,"1,682.44"
2009,Alaska,"1,973.90","1,167.83","3,141.74","1,032.20",642.16,"1,674.36"
2010,Alaska,"2,083.83","1,208.61","3,292.43","1,096.27",656.87,"1,753.14"
2011,Alaska,"2,165.08","1,298.10","3,463.19","1,085.95",690.02,"1,775.97"
