Year,State,FAH sales per capita nominal U.S. dollars without taxes and tips,FAFH sales per capita nominal U.S. dollars without taxes and tips,Total sales per capita nominal U.S. dollars without taxes and tips,FAH sales per capita constant 1988 U.S. dollars without taxes and tips,FAFH sales per capita constant 1988 U.S. dollars without taxes and tips,Total sales per capita constant 1988 U.S. dollars without taxes and tips
1997,Alabama,"1,261.01",717.20,"1,978.20",937.84,550.72,"1,488.56"
1998,Alabama,"1,307.77",787.86,"2,095.63",958.42,589.45,"1,547.87"
1999,Alabama,"1,372.08",836.12,"2,208.20",989.85,610.63,"1,600.48"
2000,Alabama,"1,414.67",869.54,"2,284.20",993.88,620.95,"1,614.83"
2001,Alabama,"1,435.21",915.31,"2,350.52",980.29,636.56,"1,616.85"
2002,Alabama,"1,457.28",957.75,"2,415.03",982.58,651.27,"1,633.85"
2003,Alabama,"1,490.93","1,024.35","2,515.28",984.01,680.31,"1,664.32"
2004,Alabama,"1,521.14","1,090.41","2,611.55",965.87,702.45,"1,668.32"
2005,Alabama,"1,573.70","1,148.77","2,722.47",979.33,719.23,"1,698.56"
2006,Alabama,"1,547.61","1,208.13","2,755.75",944.76,733.87,"1,678.64"
2007,Alabama,"1,586.41","1,252.80","2,839.22",929.47,735.87,"1,665.34"
2008,Alabama,"1,651.10","1,270.12","2,921.23",906.42,713.22,"1,619.64"
2009,Alabama,"1,588.84","1,239.91","2,828.74",865.65,671.86,"1,537.51"
2010,Alabama,"1,634.40","1,256.97","2,891.37",885.26,672.53,"1,557.79"
2011,Alabama,"1,719.91","1,319.85","3,039.76",886.22,690.81,"1,577.03"
2012,Alabama,"1,812.63","1,384.71","3,197.34",909.42,705.35,"1,614.77"
2013,Alabama,"1,825.15","1,461.65","3,286.80",904.95,727.83,"1,632.78"
2014,Alabama,"1,912.26","1,567.52","3,479.78",925.58,762.59,"1,688.17"
2015,Alabama,"1,943.14","1,705.40","3,648.54",930.92,805.10,"1,736.02"
2016,Alabama,"1,961.83","1,810.18","3,772.01",953.42,837.82,"1,791.24"
2017,Alabama,"2,050.30","1,922.14","3,972.45",998.63,872.08,"1,870.72"
2018,Alabama,"2,115.02","2,003.96","4,118.97","1,027.08",890.41,"1,917.49"
2019,Alabama,"2,179.59","2,094.75","4,274.33","1,051.20",902.99,"1,954.19"
2020,Alabama,"2,259.82","1,901.59","4,161.40","1,052.85",797.94,"1,850.79"
2021,Alabama,"2,453.71","2,268.13","4,721.85","1,105.22",916.31,"2,021.54"
2022,Alabama,"2,531.22","2,420.44","4,951.66","1,023.66",907.33,"1,930.99"
2023,Alabama,"2,596.04","2,555.08","5,151.12",996.61,894.20,"1,890.81"
1997,Alaska,"1,733.12","1,166.87","2,900.00","1,239.16",910.69,"2,149.86"
1998,Alaska,"1,781.70","1,187.60","2,969.30","1,235.93",902.76,"2,138.69"
1999,Alaska,"1,893.32","1,214.06","3,107.38","1,287.28",903.38,"2,190.66"
2000,Alaska,"1,941.17","1,290.17","3,231.34","1,293.37",939.02,"2,232.39"
2001,Alaska,"1,966.65","1,291.27","3,257.92","1,257.79",911.04,"2,168.83"
2002,Alaska,"1,965.01","1,315.99","3,281.00","1,233.69",898.83,"2,132.53"
2003,Alaska,"2,064.27","1,399.96","3,464.23","1,261.98",938.00,"2,199.99"
2004,Alaska,"2,240.29","1,459.49","3,699.78","1,320.35",948.71,"2,269.06"
2005,Alaska,"2,417.95","1,534.26","3,952.21","1,412.19",962.83,"2,375.02"
2006,Alaska,"2,522.62","1,616.99","4,139.61","1,455.79",985.83,"2,441.62"
2007,Alaska,"2,672.71","1,691.50","4,364.21","1,473.05",995.57,"2,468.62"
2008,Alaska,"2,830.15","1,725.13","4,555.28","1,469.19",978.16,"2,447.34"
2009,Alaska,"2,824.32","1,670.97","4,495.29","1,476.91",918.82,"2,395.73"
2010,Alaska,"2,918.60","1,692.77","4,611.37","1,535.42",920.01,"2,455.44"
2011,Alaska,"2,997.28","1,797.06","4,794.34","1,503.36",955.25,"2,458.61"
2012,Alaska,"3,253.84","1,871.53","5,125.37","1,603.11",965.30,"2,568.42"
2013,Alaska,"3,167.28","1,931.07","5,098.34","1,546.62",975.47,"2,522.09"
2014,Alaska,"3,152.90","2,046.92","5,199.82","1,497.78","1,009.06","2,506.84"
2015,Alaska,"3,077.82","2,212.06","5,289.88","1,438.02","1,059.99","2,498.01"
2016,Alaska,"2,954.69","2,300.56","5,255.24","1,396.52","1,067.37","2,463.89"
2017,Alaska,"3,208.86","2,392.67","5,601.52","1,521.35","1,074.87","2,596.23"
2018,Alaska,"3,269.59","2,519.96","5,789.55","1,543.40","1,094.76","2,638.17"
2019,Alaska,"3,405.39","2,670.29","6,075.67","1,583.38","1,120.24","2,703.61"
2020,Alaska,"3,513.43","2,309.53","5,822.96","1,570.96",926.45,"2,497.42"
2021,Alaska,"3,712.44","2,940.75","6,653.19","1,590.58","1,124.82","2,715.40"
2022,Alaska,"4,077.71","3,251.55","7,329.26","1,568.23","1,159.25","2,727.48"
2023,Alaska,"4,084.97","3,554.61","7,639.58","1,501.53","1,179.42","2,680.95"
1997,Arizona,"1,544.86",989.07,"2,533.93","1,104.56",771.92,"1,876.48"
1998,Arizona,"1,511.41","1,030.17","2,541.58","1,048.44",783.08,"1,831.53"
1999,Arizona,"1,535.07","1,061.01","2,596.08","1,043.71",789.49,"1,833.20"
2000,Arizona,"1,433.45","1,069.23","2,502.68",955.09,778.21,"1,733.30"
2001,Arizona,"1,395.39","1,079.64","2,475.04",892.44,761.73,"1,654.16"
2002,Arizona,"1,359.37","1,096.56","2,455.93",853.45,748.96,"1,602.42"
2003,Arizona,"1,446.68","1,143.65","2,590.33",884.42,766.27,"1,650.69"
2004,Arizona,"1,557.25","1,223.20","2,780.45",917.79,795.12,"1,712.91"
2005,Arizona,"1,684.57","1,297.48","2,982.05",983.86,814.24,"1,798.10"
2006,Arizona,"1,761.08","1,376.36","3,137.44","1,016.31",839.12,"1,855.43"
2007,Arizona,"1,859.42","1,415.86","3,275.28","1,024.81",833.34,"1,858.15"
2008,Arizona,"1,975.07","1,393.88","3,368.96","1,025.30",790.34,"1,815.63"
2009,Arizona,"1,988.04","1,321.47","3,309.51","1,039.60",726.64,"1,766.24"
2010,Arizona,"2,062.88","1,324.05","3,386.93","1,085.25",719.62,"1,804.86"
2011,Arizona,"2,190.93","1,388.08","3,579.01","1,098.91",737.85,"1,836.76"
2012,Arizona,"2,360.53","1,435.77","3,796.31","1,163.00",740.55,"1,903.54"
2013,Arizona,"2,325.63","1,539.17","3,864.80","1,135.63",777.50,"1,913.13"
2014,Arizona,"2,374.95","1,665.87","4,040.82","1,128.22",821.21,"1,949.43"
2015,Arizona,"2,391.49","1,828.55","4,220.04","1,117.35",876.22,"1,993.57"
2016,Arizona,"2,379.54","1,950.62","4,330.16","1,124.68",905.01,"2,029.69"
2017,Arizona,"2,485.36","2,101.07","4,586.43","1,178.34",943.88,"2,122.21"
2018,Arizona,"2,536.71","2,213.23","4,749.94","1,197.45",961.51,"2,158.96"
2019,Arizona,"2,591.58","2,311.87","4,903.45","1,204.98",969.87,"2,174.86"
2020,Arizona,"2,959.89","2,227.92","5,187.80","1,323.46",893.72,"2,217.17"
2021,Arizona,"3,168.46","2,780.39","5,948.85","1,357.51","1,063.48","2,421.00"
2022,Arizona,"3,410.24","3,139.17","6,549.42","1,311.53","1,119.18","2,430.72"
2023,Arizona,"3,428.01","3,385.74","6,813.74","1,260.05","1,123.39","2,383.44"
1997,Arkansas,"1,156.09",721.95,"1,878.04",859.81,554.37,"1,414.18"
1998,Arkansas,"1,166.58",746.67,"1,913.25",854.95,558.64,"1,413.59"
1999,Arkansas,"1,248.47",774.21,"2,022.68",900.68,565.41,"1,466.09"
2000,Arkansas,"1,238.88",797.08,"2,035.96",870.38,569.21,"1,439.59"
2001,Arkansas,"1,288.91",838.74,"2,127.65",880.36,583.31,"1,463.67"
2002,Arkansas,"1,298.20",859.82,"2,158.02",875.32,584.68,"1,460.00"
2003,Arkansas,"1,332.97",885.28,"2,218.25",879.76,587.95,"1,467.71"
2004,Arkansas,"1,422.24",937.90,"2,360.15",903.07,604.21,"1,507.28"
2005,Arkansas,"1,492.89",983.61,"2,476.50",929.03,615.83,"1,544.86"
2006,Arkansas,"1,533.98","1,031.50","2,565.49",936.44,626.58,"1,563.02"
2007,Arkansas,"1,581.43","1,056.68","2,638.11",926.55,620.67,"1,547.22"
2008,Arkansas,"1,642.55","1,090.40","2,732.95",901.73,612.30,"1,514.02"
2009,Arkansas,"1,596.71","1,091.74","2,688.44",869.94,591.57,"1,461.51"
2010,Arkansas,"1,619.96","1,112.56","2,732.51",877.44,595.27,"1,472.70"
2011,Arkansas,"1,684.47","1,172.34","2,856.81",867.95,613.60,"1,481.56"
2012,Arkansas,"1,793.67","1,232.28","3,025.95",899.91,627.70,"1,527.61"
2013,Arkansas,"1,836.66","1,292.28","3,128.93",910.65,643.49,"1,554.15"
2014,Arkansas,"1,979.27","1,394.80","3,374.07",958.01,678.57,"1,636.58"
2015,Arkansas,"2,090.67","1,541.91","3,632.58","1,001.60",727.92,"1,729.52"
2016,Arkansas,"2,136.57","1,648.68","3,785.25","1,038.34",763.07,"1,801.41"
2017,Arkansas,"2,329.87","1,753.36","4,083.23","1,134.80",795.51,"1,930.31"
2018,Arkansas,"2,369.78","1,832.65","4,202.44","1,150.80",814.30,"1,965.10"
2019,Arkansas,"2,384.65","1,919.60","4,304.25","1,150.10",827.49,"1,977.60"
2020,Arkansas,"2,583.28","1,850.02","4,433.30","1,203.55",776.30,"1,979.85"
2021,Arkansas,"2,789.21","2,257.45","5,046.66","1,256.34",912.00,"2,168.34"
2022,Arkansas,"2,877.93","2,392.07","5,270.01","1,163.87",896.70,"2,060.57"
2023,Arkansas,"2,902.65","2,524.90","5,427.56","1,114.32",883.64,"1,997.96"
1997,California,"1,318.51",979.90,"2,298.42",942.72,764.77,"1,707.49"
1998,California,"1,316.24","1,021.52","2,337.75",913.05,776.51,"1,689.56"
1999,California,"1,376.23","1,060.65","2,436.88",935.71,789.23,"1,724.94"
2000,California,"1,387.21","1,122.02","2,509.23",924.28,816.63,"1,740.91"
2001,California,"1,468.26","1,161.84","2,630.11",939.04,819.72,"1,758.77"
2002,California,"1,519.36","1,199.98","2,719.34",953.90,819.60,"1,773.50"
2003,California,"1,607.69","1,257.00","2,864.69",982.85,842.22,"1,825.07"
2004,California,"1,658.58","1,338.14","2,996.72",977.51,869.82,"1,847.34"
2005,California,"1,731.42","1,414.98","3,146.40","1,011.23",887.98,"1,899.20"
2006,California,"1,794.59","1,515.60","3,310.19","1,035.65",924.01,"1,959.66"
2007,California,"1,871.61","1,584.20","3,455.81","1,031.53",932.42,"1,963.95"
2008,California,"1,900.29","1,604.52","3,504.81",986.48,909.77,"1,896.24"
2009,California,"1,837.29","1,535.03","3,372.32",960.76,844.07,"1,804.83"
2010,California,"1,849.14","1,558.26","3,407.40",972.80,846.91,"1,819.71"
2011,California,"1,947.39","1,635.83","3,583.23",976.76,869.55,"1,846.31"
2012,California,"2,019.38","1,725.84","3,745.22",994.92,890.16,"1,885.08"
2013,California,"2,100.80","1,864.40","3,965.20","1,025.85",941.79,"1,967.64"
2014,California,"2,198.33","2,054.53","4,252.86","1,044.32","1,012.81","2,057.13"
2015,California,"2,238.49","2,259.87","4,498.36","1,045.87","1,082.90","2,128.77"
2016,California,"2,282.75","2,429.98","4,712.73","1,078.93","1,127.42","2,206.35"
2017,California,"2,308.10","2,621.90","4,929.99","1,094.30","1,177.85","2,272.15"
2018,California,"2,405.10","2,802.57","5,207.67","1,135.32","1,217.54","2,352.86"
2019,California,"2,512.97","2,972.48","5,485.45","1,168.43","1,247.01","2,415.45"
2020,California,"2,773.14","2,509.01","5,282.15","1,239.96","1,006.47","2,246.43"
2021,California,"3,013.01","3,215.40","6,228.41","1,290.91","1,229.87","2,520.78"
2022,California,"3,373.24","3,915.43","7,288.67","1,297.30","1,395.94","2,693.24"
2023,California,"3,490.34","4,463.33","7,953.68","1,282.96","1,480.93","2,763.90"
1997,Colorado,"1,606.54","1,171.57","2,778.11","1,148.66",914.36,"2,063.02"
1998,Colorado,"1,658.10","1,225.44","2,883.53","1,150.19",931.52,"2,081.71"
1999,Colorado,"1,730.02","1,276.88","3,006.90","1,176.25",950.12,"2,126.37"
2000,Colorado,"1,689.97","1,309.28","2,999.25","1,126.00",952.93,"2,078.93"
2001,Colorado,"1,741.55","1,340.51","3,082.05","1,113.83",945.78,"2,059.60"
2002,Colorado,"1,735.26","1,373.62","3,108.89","1,089.45",938.20,"2,027.65"
2003,Colorado,"1,776.62","1,405.34","3,181.95","1,086.12",941.61,"2,027.73"
2004,Colorado,"1,864.41","1,478.83","3,343.24","1,098.82",961.28,"2,060.10"
2005,Colorado,"1,997.95","1,543.62","3,541.57","1,166.89",968.70,"2,135.60"
2006,Colorado,"2,021.28","1,615.01","3,636.29","1,166.47",984.62,"2,151.09"
2007,Colorado,"2,100.05","1,661.39","3,761.44","1,157.43",977.85,"2,135.28"
2008,Colorado,"2,235.81","1,683.97","3,919.77","1,160.65",954.82,"2,115.47"
